Kep;Nepszeruseg;Nev
1.jpg;85;Morgan Freeman
2.jpg;81;Samuel L. Jackson
3.jpg;80;Denzel Washington
4.jpg;78;Harrison Ford
5.jpg;77;Keanu Reeves
6.jpg;77;Robert Downey Jr.
7.jpg;75;Anthony Hopkins
8.jpg;75;Bruce Willis
9.jpg;74;Jackie Chan
10.jpg;74;Liam Neeson
11.jpg;73;Hugh Jackman
12.jpg;71;Brad Pitt
13.jpg;71;Eddie Murphy
